query,match,e-value,percent,coverage,bitscore,kingdom,phylum,class,order,family,genus,species
OTU_940,UDB025511|SH1600720.08FU,1.21e-113,99.539,217,412,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,Hymenochaete_sp
OTU_94,KU747715|SH1646498.08FU,2.82e-107,98.585,212,390,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_fam_Incertae_sedis,Oxydothis,Oxydothis_garethjonesii
OTU_939,FJ788797|SH1549201.08FU,3.13e-81,92.095,253,304,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,unidentified,unidentified,Sebacinales_sp
OTU_938,MF495378|SH1546289.08FU,9.64e-133,100.000,247,475,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp
OTU_937,KF493968|SH1644390.08FU,2.47e-89,91.304,253,331,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_sp
OTU_936,KC774568|SH1232356.08FU,4.41e-47,82.443,262,191,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Lopadostoma,Lopadostoma_americanum
OTU_935,KU747778|SH1576433.08FU,1.94e-86,94.500,200,321,Fungi,Ascomycota,Sordariomycetes,Microascales,unidentified,unidentified,Microascales_sp
OTU_934,KF805994|SH1552371.08FU,7.24e-64,85.938,256,246,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Schizothyriaceae,Zygophiala,Zygophiala_wisconsinensis
OTU_933,KX501128|SH1524035.08FU,9.31e-78,88.936,235,292,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Incrucipulum,Incrucipulum_sulphurellum
OTU_932,KY264026|SH1561147.08FU,9.64e-133,99.600,250,475,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,Eichleriella,Eichleriella_sp
OTU_931,KP050681|SH1187545.08FU,1.96e-108,94.332,247,394,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,unidentified,Xylariaceae_sp
OTU_93,EU687027|SH1546291.08FU,4.06e-106,98.122,213,387,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp
OTU_929,KU320618|SH1190465.08FU,5.59e-39,91.406,128,164,Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Eutypella,Eutypella_sp
OTU_928,MK650330|SH2592244.08FU,2.15e-60,85.600,250,235,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_927,KC315855|SH1648209.08FU,4.90e-21,98.246,57,104,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporales_fam_Incertae_sedis,Cryomyces,Cryomyces_antarcticus
OTU_926,UDB0780222|SH3569703.08FU,6.61e-112,99.078,217,406,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,unidentified,Coniophoraceae_sp
OTU_925,MT645268|SH1914521.08FU,9.64e-133,99.600,250,475,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_scovillei
OTU_924,MH268117|SH1561368.08FU,3.60e-110,99.526,211,400,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,unidentified,Thyridariaceae_sp
OTU_923,HQ832997|SH1636089.08FU,1.33e-65,88.333,240,252,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Phialophora,Phialophora_sp
OTU_922,GU054106|SH1544558.08FU,9.64e-133,99.600,250,475,Fungi,Basidiomycota,Agaricomycetes,Polyporales,unidentified,unidentified,Polyporales_sp
OTU_921,KP004469|SH1243374.08FU,4.97e-43,97.030,101,177,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Thyridaria,Thyridaria_acaciae
OTU_920,UDB016782|SH1245992.08FU,4.90e-21,100.000,54,104,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Trechispora_sp
OTU_92,MT470666|SH3566332.08FU,6.34e-46,88.462,156,187,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_919,KY984340|SH1576717.08FU,4.44e-58,86.400,250,227,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Helminthosporium,Helminthosporium_quercinum
OTU_918,MH861730|SH1535487.08FU,1.56e-127,98.400,250,458,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_nepalense
OTU_917,KY861520|SH1151941.08FU,6.52e-90,91.633,251,333,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Dictyonema,Dictyonema_sp
OTU_916,MN905840|SH1173145.08FU,2.69e-30,79.537,259,135,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_915,KY636365|SH2704904.08FU,1.36e-98,92.857,252,362,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus_sp
OTU_914,JQ747703|SH1247464.08FU,1.20e-91,95.775,213,339,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_913,MN794379|SH3593325.08FU,3.89e-40,81.961,255,167,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Kramasamuha,Kramasamuha_sp
OTU_912,MK953370|SH3566828.08FU,7.34e-86,93.780,209,319,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pterulaceae,Pterulicium,Pterulicium_sp
OTU_911,EU686753|SH1235681.08FU,4.44e-58,88.532,218,227,Fungi,Ascomycota,Sordariomycetes,Sordariales,unidentified,unidentified,Sordariales_sp
OTU_910,KY031685|SH1505329.08FU,6.57e-101,92.829,251,369,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Mollisia,Mollisia_sp
OTU_91,MK210512|SH1577498.08FU,2.45e-78,88.889,252,294,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pluripassalora,Pluripassalora_sp
OTU_909,UDB0778311|SH1644443.08FU,4.03e-95,92.829,251,350,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,unidentified,Plectosphaerellaceae_sp
OTU_908,MT102860|SH1573658.08FU,1.65e-24,87.500,96,116,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,Phanerochaete_sp
OTU_907,MF663544|SH1541178.08FU,1.16e-36,93.137,102,156,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp
OTU_906,KJ482673|SH1553322.08FU,1.53e-94,92.032,251,348,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita_sp
OTU_905,MG826954|SH1560643.08FU,6.57e-101,95.062,243,369,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Monocillium,Monocillium_sp
OTU_904,KJ152199|SH1636861.08FU,1.34e-76,95.055,182,289,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_sp
OTU_903,MT627703|SH1183342.08FU,3.92e-51,89.937,159,204,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Roussoella,Roussoella_sp
OTU_902,KF436314|SH1181003.08FU,1.04e-62,87.562,201,242,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,unidentified,Xylariaceae_sp
OTU_901,UDB0761386|SH2714954.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_fam_Incertae_sedis,Castanediella,Castanediella_sp
OTU_900,UDB020915|SH1214636.08FU,3.86e-29,79.681,251,131,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Myriangiaceae,Anhellia,Anhellia_nectandrae
OTU_90,MN431396|SH1536908.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_costaricense
OTU_9,KP896040|SH1548073.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Zasmidium,Zasmidium_citrigriseum
OTU_899,GU054127|SH1184436.08FU,3.20e-114,97.211,251,414,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes_sp
OTU_898,EU009971|SH1515012.08FU,3.63e-121,99.142,233,437,Fungi,Basidiomycota,Exobasidiomycetes,Tilletiales,Tilletiaceae,Tilletia,Tilletia_sp
OTU_897,LC428827|SH1505212.08FU,3.18e-103,95.238,252,377,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,unidentified,Nectriaceae_sp
OTU_896,MN735993|SH1649637.08FU,9.50e-111,100.000,209,402,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Aigialaceae,Neoastrosphaeriella,Neoastrosphaeriella_sp
OTU_895,MN637808|SH1612887.08FU,9.57e-122,99.145,234,439,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Morosphaeriaceae,Acrocalymma,Acrocalymma_medicaginis
OTU_894,DQ993618|SH1573853.08FU,4.03e-95,96.209,211,350,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales_sp
OTU_893,MK539968|SH2595287.08FU,5.07e-76,89.256,242,287,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,Setophoma_brachypodii
OTU_892,MT529321|SH1522832.08FU,4.11e-128,99.200,250,460,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_sp
OTU_891,DQ826538|SH1145400.08FU,6.47e-79,90.726,248,296,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_fam_Incertae_sedis,Resinicium,Resinicium_confertum
OTU_890,KT581909|SH1142532.08FU,1.87e-31,96.296,81,139,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,unidentified,Pleosporaceae_sp
OTU_889,AB828221|SH1175185.08FU,3.58e-99,94.298,228,364,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes_sp
OTU_888,KT336540|SH1552750.08FU,2.84e-118,97.600,250,427,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_fam_Incertae_sedis,Liberomyces,Liberomyces_sp
OTU_887,MH855003|SH1573567.08FU,1.39e-131,100.000,245,471,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Rhizoctonia_sp
OTU_886,MN846706|SH2705577.08FU,1.77e-134,100.000,250,481,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis_heteropogonicola
OTU_885,FJ624268|SH1546430.08FU,1.37e-109,95.600,250,398,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_aquaeductuum
OTU_884,KC968926|SH1172071.08FU,1.53e-94,92.800,250,348,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,Hypoxylon_musceum
OTU_883,KX499282|SH1585536.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Xylariales,unidentified,unidentified,Xylariales_sp
OTU_882,MT586824|SH1558105.08FU,1.35e-87,90.909,253,325,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Neocercospora,Neocercospora_sp
OTU_881,MH055382|SH1552073.08FU,4.60e-113,96.032,252,410,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,unidentified,Bolbitiaceae_sp
OTU_880,MF511126|SH1202752.08FU,5.14e-98,93.671,237,360,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus_sp
OTU_88,LT796887|SH1637046.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Arthopyreniaceae,Arthopyrenia,Arthopyrenia_sp
OTU_879,JX014386|SH1176699.08FU,6.52e-90,92.095,253,333,Fungi,Ascomycota,Sordariomycetes,Xylariales,unidentified,unidentified,Xylariales_sp
OTU_878,KY630471|SH1553381.08FU,8.99e-23,96.825,63,110,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,unidentified,Tulasnellaceae_sp
OTU_877,GU054026|SH1173578.08FU,2.86e-129,98.800,250,464,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Trechispora_sp
OTU_876,MK256468|SH1649720.08FU,6.66e-123,98.381,247,442,Fungi,Basidiomycota,unidentified,unidentified,unidentified,unidentified,Basidiomycota_sp
OTU_875,KJ188674|SH1508196.08FU,1.34e-76,90.871,241,289,Fungi,Ascomycota,Sordariomycetes,Boliniales,Boliniaceae,Camarops,Camarops_sp
OTU_874,MK377301|SH2592965.08FU,3.41e-22,100.000,56,108,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,Ochroconis_sp
OTU_873,MN431378|SH1650939.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_sp
OTU_871,DQ923538|SH1184918.08FU,3.05e-37,97.030,101,158,Fungi,Ascomycota,Sordariomycetes,Phyllachorales,Phyllachoraceae,Phyllachora,Phyllachora_eucalypti
OTU_870,MT453280|SH1574449.08FU,2.51e-111,96.000,250,404,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus_sp
OTU_87,MK650399|SH1541120.08FU,2.52e-122,98.406,251,440,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,unidentified,Xylariaceae_sp
OTU_869,GU053814|SH1184902.08FU,1.18e-69,87.402,254,266,Fungi,Ascomycota,Sordariomycetes,Xylariales,unidentified,unidentified,Xylariales_sp
OTU_868,MF495440|SH1637430.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium_sp
OTU_867,KT002152|SH1648518.08FU,3.11e-70,96.855,159,267,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Panaeolus,Panaeolus_cyanescens
OTU_866,KX228283|SH1175566.08FU,1.39e-131,99.597,248,471,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,Ochroconis_dracaenae
OTU_865,UDB0779832|SH1542508.08FU,3.20e-114,96.429,252,414,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Byssocorticiaceae,Athelopsis,Athelopsis_lembospora
OTU_864,KM409654|SH1577490.08FU,2.49e-100,92.800,250,367,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella_sp
OTU_863,LC544107|SH2605093.08FU,4.57e-102,95.200,250,373,Fungi,Ascomycota,Sordariomycetes,Boliniales,Boliniales_fam_Incertae_sedis,Paramicrothyrium,Paramicrothyrium_sp
OTU_862,KC292829|SH1649506.08FU,1.66e-35,93.814,97,152,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota_sp
OTU_861,HQ608076|SH1562717.08FU,5.25e-131,99.200,250,469,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Cryptobasidiaceae,Acaromyces,Acaromyces_sp
OTU_860,KP890409|SH1649123.08FU,1.77e-134,100.000,250,481,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_sp
OTU_86,MT093635|SH1540680.08FU,9.64e-133,99.600,250,475,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Valsaceae,Phomopsis,Phomopsis_sp
OTU_859,GU053887|SH1570017.08FU,9.64e-133,99.600,250,475,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales_sp
OTU_858,MT345047|SH1574427.08FU,5.59e-39,90.840,131,164,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus_sp
OTU_857,KM032306|SH1182211.08FU,2.86e-129,98.800,250,464,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,Dothideomycetes_sp
OTU_856,GU054164|SH1193376.08FU,3.58e-99,93.333,255,364,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_855,MF075137|SH1506290.08FU,5.75e-83,90.800,250,310,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Tetrapyrgos,Tetrapyrgos_atrocyanea
