#OTU ID,T1_OBS,T2_OBS,T3_OBS,E1_OBS,E2_OBS,E3_OBS,MockBlank_R1,MockNeg_R1,Code,Phylum,Species,Ratio,T1_EXP,T2_EXP,T3_EXP,E1_EXP,E2_EXP,E3_EXP,T1_OBS_PCT,T2_OBS_PCT,T3_OBS_PCT,E1_OBS_PCT,E2_OBS_PCT,E3_OBS_PCT,NOTES
OTU_47,4,13,5,8,0,4,0,0,CBS385.35,Ascomycota,Xylaria mali,0.022329929,2506.311234,1896.480872,1601.748139,2379.119958,2371.572442,2399.462524,0.003563792,0.015306723,0.006970487,0.007508635,0,0.003722488,
OTU_48,0,0,0,0,0,33,0,0,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,2758.885235,2087.5991,1763.164618,2618.876233,2610.568115,2641.268825,0,0,0,0,0,0.03071053,*If Observed and expected values were negative values then I changed it to zero. 
OTU_49,2,4,3,0,1,5,0,1,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261,893.7233858,676.2644971,571.1660031,848.3683573,845.676995,855.6222953,0.001781896,0.004709761,0.004182292,0,0.000941566,0.004653111,*If Observed and expected values were negative values then I changed it to zero. 
OTU_5,5358,4102,3550,7404,10021,7061,0,0,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,5148.623853,3895.87156,3290.412844,4887.33945,4871.834862,4929.12844,4.773699216,4.829859885,4.94904574,6.949241628,9.435436793,6.571122796,
OTU_50,0,0,0,5,5,8,0,0,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557,4954.336161,3748.857539,3166.246322,4702.911546,4687.992037,4743.123594,0,0,0,0.004692897,0.004707832,0.007444977,*If Observed and expected values were negative values then I changed it to zero. 
OTU_51,1,3,1,3,2,0,2,0,CBS130337,Ascomycota,Fusarium torulosum,0.012895967,1447.44331,1095.254457,925.040592,1373.987883,1369.629046,1385.736109,0.000890948,0.003532321,0.001394097,0.002815738,0.001883133,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_52,2,5,0,0,6,7,0,0,CBS130337,Ascomycota,Fusarium torulosum,0.012895967,1447.44331,1095.254457,925.040592,1373.987883,1369.629046,1385.736109,0.001781896,0.005887201,0,0,0.005649398,0.006514355,
OTU_53,0,0,0,3,2,14,0,0,CBS130337,Ascomycota,Fusarium torulosum,0.012895967,1447.44331,1095.254457,925.040592,1373.987883,1369.629046,1385.736109,0,0,0,0.002815738,0.001883133,0.01302871,
OTU_54,3,1,1,3,4,6,0,0,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059,5051.480007,3822.364549,3228.329583,4795.125498,4779.91345,4836.126017,0.002672844,0.00117744,0.001394097,0.002815738,0.003766266,0.005583733,
OTU_55,0,0,0,0,0,12,0,0,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762,1020.010386,771.8236109,651.8742427,968.2464947,965.1748312,976.5254457,0,0,0,0,0,0.011167465,*If Observed and expected values were negative values then I changed it to zero. 
OTU_6,4292,4261,3524,3457,6329,3003,0,0,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566,5731.486931,4336.913623,3662.912411,5440.623161,5423.363337,5487.142981,3.823948681,5.017072884,4.912799208,3.244668869,5.959173681,2.794658229,
OTU_7,1418,1059,962,6070,5879,6244,1056,746,CBS107930,Basidiomycota,Hericium abietis,0.008741561,981.1528475,742.4208066,627.0409382,931.360914,928.4062662,939.3244764,1.26336422,1.246909219,1.341121691,5.697176753,5.535468806,5.810804523,
OTU_8,6415,2271,2026,4298,7694,3668,0,0,CBS6965,Basidiomycota,Tremella aurantia,0.018521724,2078.878311,1573.050026,1328.58179,1973.37857,1967.118227,1990.251861,5.715431219,2.673966796,2.824441315,4.034014116,7.244411803,3.413521939,
OTU_9,2285,2303,2049,6172,3083,6860,483,0,CBS130337,Ascomycota,Fusarium torulosum,0.012895967,1447.44331,1095.254457,925.040592,1373.987883,1369.629046,1385.736109,2.035816108,2.711644884,2.856505555,5.792911849,2.90284918,6.384067749,
